Crop,Disease_Type,Preferred_Time,Frequency,Weather_Condition,Temp,Humid,Notes
Tomatoes,Fungal (Early Blight),Early Morning (6-9 AM),Every 7 Days,Dry Foliage,18-24°C,60-75%,Critical during wet season; focus on lower leaves.
Tomatoes,Fungal (Late Blight),Morning,Every 5 Days,Cool/Cloudy,12-20°C,80-90%,Preventative spray is essential before rain.
Tomatoes,Bacterial (Bacterial Spot),Late Afternoon,Every 7-10 Days,Dry Weather,24-30°C,70-80%,Avoid overhead irrigation to reduce spread.
Tomatoes,Insect (Tuta Absoluta),Late Evening,Weekly,Calm Wind,20-28°C,50-70%,Use pheromone traps for monitoring.
Tomatoes,Viral (Tomato Yellow Leaf Curl),Early Morning,Twice Weekly,No Wind,22-32°C,40-60%,Control whitefly vectors immediately.
Tomatoes,Fungal (Septoria Leaf Spot),Morning,Every 10 Days,Dry Foliage,20-25°C,65-75%,Remove infected lower leaves before spraying.
Tomatoes,Insect (Whiteflies),Early Morning,Every 5 Days,Calm Wind,25-30°C,50-70%,Target undersides of leaves where pests hide.
Tomatoes,Fungal (Powdery Mildew),Afternoon,Every 7-10 Days,Dry,20-28°C,40-60%,High humidity at night promotes spread.
Tomatoes,Insect (Aphids),Morning,Weekly,Calm,18-25°C,50-70%,Check growing tips for clusters.
Tomatoes,Fungal (Anthracnose),Late Afternoon,Every 7 Days,Dry,22-28°C,70-90%,Affects ripe fruit; harvest early if possible.
Tomatoes,Bacterial (Bacterial Wilt),Morning,As Needed,Dry Soil,24-32°C,80-90%,Remove and destroy infected plants immediately.
Tomatoes,Insect (Leaf Miners),Morning,Weekly,No Wind,20-30°C,50-70%,Look for serpentine tunnels in leaves.
Tomatoes,Fungal (Gray Mold/Botrytis),Early Morning,Every 5-7 Days,Cool/Humid,15-20°C,85-95%,Improve air circulation in greenhouse.
Tomatoes,Insect (Fruit Worm),Late Evening,When Larvae Seen,No Rain,20-28°C,60-70%,Spray when eggs hatch.
Tomatoes,Fungal (Fusarium Wilt),Morning,Preventative,Warm Soil,25-30°C,60-80%,Drench soil; difficult to cure once infected.
Tomatoes,Nutritional (Blossom End Rot),Morning,Weekly,Consistent Moisture,20-30°C,50-70%,Calcium deficiency; maintain steady watering.
Tomatoes,Insect (Spider Mites),Early Morning,Every 3-5 Days,Hot/Dry,28-35°C,30-50%,Mites thrive in hot dry conditions.
Tomatoes,Viral (Tomato Mosaic Virus),N/A,No Cure,N/A,20-30°C,N/A,Sanitize tools; remove infected plants.
Tomatoes,Fungal (Target Spot),Morning,Every 10 Days,Humid,20-28°C,80-90%,Similar symptoms to early blight.
Tomatoes,Insect (Thrips),Late Afternoon,Weekly,Calm Wind,25-32°C,40-60%,Vector for Spotted Wilt Virus.
Maize,Insect (Fall Armyworm),Late Evening,Every 7 Days,No Rain,20-30°C,50-70%,Spray directly into the funnel (whorl).
Maize,Fungal (Northern Leaf Blight),Morning,Every 14 Days,Cool/Wet,18-25°C,70-90%,Start spraying at first sign of lesions.
Maize,Insect (Stem Borer),Afternoon,Every 10 Days,Dry,22-30°C,60-80%,Apply granules or spray into leaf axils.
Maize,Fungal (Gray Leaf Spot),Morning,Every 14 Days,Warm/Humid,25-30°C,80-95%,Major yield reducer; use resistant varieties.
Maize,Insect (Maize Aphid),Morning,Weekly,Calm,20-26°C,50-70%,Often attacks tassels; check during pollination.
Maize,Fungal (Common Rust),Early Morning,Every 10 Days,Cool/Moist,16-24°C,75-90%,Pustules appear on both sides of leaves.
Maize,Insect (Cutworms),Late Evening,At Planting,Moist Soil,18-25°C,60-80%,Apply bait or spray around base of plants.
Maize,Viral (Maize Lethal Necrosis),Morning,Weekly (Vector),No Wind,22-28°C,60-80%,Control thrips and beetles aggressively.
Maize,Fungal (Southern Leaf Blight),Morning,Every 10 Days,Warm/Wet,25-32°C,80-95%,Lesions are smaller than Northern Blight.
Maize,Insect (Grasshoppers),Mid-Day,As Needed,Dry,25-35°C,40-60%,Treat borders of the field first.
Maize,Fungal (Ear Rot),Late Season,Preventative,Dry,20-28°C,60-80%,Harvest early if wet weather is forecast.
Maize,Insect (Termites),Morning,Pre-planting,Dry Soil,25-35°C,40-60%,Destroy mounds; treat soil.
Maize,Fungal (Head Smut),Pre-planting,Seed Treatment,N/A,20-28°C,50-70%,Soil-borne; crop rotation is key.
Maize,Nutritional (Nitrogen Deficiency),Morning,Early Growth,Moist Soil,20-30°C,60-80%,Pale yellow V-shape on leaves; top dress urea.
Maize,Insect (African Armyworm),Evening,Outbreak,No Rain,22-30°C,50-70%,Marching caterpillars; spray field perimeter.
Maize,Fungal (Anthracnose Stalk Rot),Post-Harvest,Residue Mgmt,N/A,25-30°C,70-90%,Plow under debris to reduce inoculum.
Maize,Insect (Weevils),Post-Harvest,Storage,Dry,20-25°C,40-60%,Fumigate grain bins; keep moisture low.
Maize,Fungal (Diplodia Ear Rot),Late Season,Preventative,Wet,20-28°C,80-95%,White mold on ears; rotate crops.
Maize,Insect (Spider Mites),Afternoon,Drought,Hot/Dry,30-38°C,20-40%,Attacks lower leaves first during drought.
Maize,Bacterial (Stewart's Wilt),Morning,Vector Control,Calm,25-32°C,60-80%,Control flea beetles.
